,estimated_f2b,departure_time,log_likelihood,trips_number,gradient,asymptotic_confidence
48,0.46631483459472656,2020-04-02 08:13:16,-1227.422934722036,203,0.008431810391488881,8.100424675161985e-06
49,0.07953311920166017,2020-04-02 08:14:47,-1028.0604408464092,168,8.411608352743016e-06,6.204820249588722e-06
50,0.09793968200683595,2020-04-02 08:17:05,-859.9647597516027,141,0.004756474261143229,1.6881091666336546e-05
51,0.0,2020-04-02 08:19:05,-630.6844155502384,105,-28.017449426532135,3.650440026615705e-05
52,0.5306120452880858,2020-04-02 08:24:26,-1345.8680320169794,237,-0.001014581012839022,8.127539915498562e-06
53,0.05425553512573243,2020-04-02 08:25:58,-1402.1163548780307,248,-0.0015315538625397807,2.6270140146087497e-06
54,0.20033047485351557,2020-04-02 08:27:41,-1035.5954175824163,180,-0.005502296354573888,2.5745958538981487e-05
55,0.0041805381774902345,2020-04-02 08:29:35,-894.3984090261768,159,0.0009242753269599613,4.854686853008495e-06
56,0.0,2020-04-02 08:32:04,-985.5908628302674,170,-95.35796827525452,6.244483547626003e-05
57,0.06677428436279298,2020-04-02 08:35:53,-881.9405996155986,161,-0.00039213834313855944,5.689354975400531e-06
58,0.3431318664550781,2020-04-02 08:37:51,-834.5073722560337,146,0.006144442416664292,3.2902052358329794e-05
59,0.0,2020-04-02 08:39:31,-927.088894483988,160,-31.74571246673852,3.256306035141884e-05
60,0.14827381896972658,2020-04-02 08:41:35,-1011.8863546924133,177,0.00467040710508923,1.7821050137265387e-05
61,0.0,2020-04-02 08:43:10,-706.9356158745074,125,-50.621172824658586,7.257165751273193e-05
62,0.010752405166625977,2020-04-02 08:45:37,-830.3709490866331,144,-0.004367545111241267,1.5135648224836572e-06
63,0.03602046203613282,2020-04-02 08:48:42,-901.8190800223691,160,-0.008929866972035683,1.0661846587750635e-05
64,0.1966796493530273,2020-04-02 08:52:01,-1338.5976176023987,231,0.003415448054483905,6.5637699638585654e-06
65,0.3045200042724609,2020-04-02 08:54:00,-1052.3195371388456,179,0.002048314113384511,1.6335248379952933e-05
66,0.0,2020-04-02 08:56:02,-991.0452034910844,172,-8.94961115218096,4.697010427825316e-06
67,0.004123374938964844,2020-04-02 08:57:36,-863.1525347978754,151,-0.0024293914124235982,7.345942419549157e-06
68,0.0050646629333496096,2020-04-02 08:59:57,-857.692344473608,157,-0.0017764105951258633,4.313351048612013e-06
69,0.005683931350708009,2020-04-02 09:02:16,-766.2523486201567,136,-0.002956644712242884,2.2412897916532966e-06
70,0.057422378540039065,2020-04-02 09:04:24,-588.6557996567368,103,-0.001493021183746751,2.4019694005546297e-05
71,0.0,2020-04-02 09:06:48,-650.1237348374252,119,-1.5296827875500194,4.907099730588593e-06
72,0.0,2020-04-02 09:08:52,-696.1496656480808,128,-46.804963178836424,8.337396721255948e-05
73,0.04273523712158203,2020-04-02 09:10:49,-570.8921164277014,104,-0.0013893095727428584,1.4517555975909733e-05
74,0.07228482055664062,2020-04-02 09:12:19,-464.25711876594454,83,-0.0021661479740154865,5.3311751937341695e-05
75,0.0,2020-04-02 09:15:14,-651.3589404307062,121,-81.61843768446101,8.615826312254781e-05
76,0.0,2020-04-02 09:16:33,-356.13496323188224,66,-23.564764719222946,0.0006541079671547247
77,0.0,2020-04-02 09:19:12,-407.37733215771186,80,-46.74175400946942,0.0001562299218735192
78,0.0,2020-04-02 09:20:53,-295.3274117040357,55,-23.367780215045325,0.0008570735972549037
79,0.0,2020-04-02 09:22:46,-316.10738454836945,59,-34.49885853001937,0.0004968733243350172
80,0.0,2020-04-02 09:27:41,-541.1302169004158,107,-88.22580385163808,8.3955095123691e-05
81,0.0,2020-04-02 09:29:49,-378.45573863517166,67,-6.908504212761509,0.00011945077177278036
82,0.026657123565673825,2020-04-02 09:32:54,-543.4019701576932,100,-0.0015941537298907738,6.036521971882673e-06
83,0.03189708709716797,2020-04-02 09:35:32,-477.9447838025472,82,-0.005934934269460261,9.350828447462587e-06
84,0.01959174728393555,2020-04-02 09:38:58,-406.1776576600475,74,0.008562564245397697,5.457169411364896e-06
85,0.04334497833251953,2020-04-02 09:40:51,-305.6359179788611,55,0.0002114371718135999,2.430209732770811e-05
86,0.0,2020-04-02 09:48:20,-569.7203029340235,111,-23.60619886684278,2.6434273645717286e-05
87,0.0,2020-04-02 09:49:51,-401.47803224891175,74,-8.921372237754985,0.0008300552628153619
88,0.0,2020-04-02 09:51:10,-174.5074285070705,31,-9.774671958640113,0.0047867897271264654
89,0.0,2020-04-02 09:53:09,-136.14611230401812,26,-10.745299225127892,0.000939865247168051
90,0.0,2020-04-02 09:55:42,-179.41493060988017,33,-19.485745606249544,0.0015716079919725224
91,0.0,2020-04-02 10:00:14,-224.80942437190063,42,-36.99511188834888,0.0006435005088541787
92,0.0,2020-04-02 10:04:05,-194.88298617785577,36,-27.82848874787132,0.000991494730978173
93,0.037445732116699215,2020-04-02 10:11:54,-306.61920074311075,61,0.005144426152737358,1.5370057262290074e-05
94,0.02586827087402344,2020-04-02 10:14:05,-274.7701494446433,49,0.0011125442966109212,4.5326490291028025e-05
95,0.0,2020-04-02 10:15:35,-170.98356756811071,28,-13.485790971967122,0.0029473143337706985
96,0.02890935516357422,2020-04-02 10:21:03,-153.83573209145584,29,-0.0030238987959314567,4.015912423746676e-05
97,0.0,2020-04-02 10:23:28,-85.98534325212957,16,-8.539898107141633,0.007101988350733767
98,0.0,2020-04-02 10:28:24,-190.23818958928794,36,-25.811127977191134,0.0010678760230751017
99,0.02178300476074219,2020-04-02 10:32:02,-126.72645465177162,22,0.0035990639116181278,0.00012935287228773684
100,0.0,2020-04-02 10:35:13,-197.54393422122072,33,-20.321334859450914,0.0012740631146665438
101,0.03392447662353516,2020-04-02 10:40:47,-182.15372349131906,33,0.004969507207781332,3.532491827089499e-05
102,0.0,2020-04-02 10:44:55,-123.7366014027208,23,-18.925268956229168,0.002305376250881659
103,0.0,2020-04-02 10:48:49,-100.72565026785657,19,-15.999990935665362,0.003289474955521802
104,0.05795590209960937,2020-04-02 10:52:42,-93.4805084005789,19,0.008544834981408123,0.00017330058949038013
105,0.020837905883789063,2020-04-02 10:57:53,-131.20079084820952,24,0.004582667641821875,0.00010701247226445916
106,0.0,2020-04-02 11:00:35,-121.79528707060642,21,-12.545876990008997,0.003940843281905947
107,0.021741085052490235,2020-04-02 11:08:32,-211.11698653532503,43,-0.001669096870129838,1.5910327238976136e-05
108,0.0,2020-04-02 11:10:35,-89.2013566265858,16,-8.8894605080635,0.007241181992254604
109,0.0,2020-04-02 11:15:04,-98.78459282934166,19,-14.54862699188205,0.003582786787099889
110,0.0,2020-04-02 11:17:54,-104.07086020793054,19,-14.148644898247166,0.0037628815419817278
111,0.09670495605468751,2020-04-02 11:21:04,-124.56322986820629,17,0.006790307607240493,-0.0011277536625057451
112,0.25920098876953124,2020-04-02 11:24:49,-166.67502334693503,25,0.004306350895004529,0.000340011727131855
113,0.12371649169921874,2020-04-02 11:27:08,-172.51989387951102,26,-0.0010100755170983715,3.637031988600325e-05
114,0.06673617553710937,2020-04-02 11:32:12,-163.0359470641033,27,0.00017169403773698022,-0.00011610383696368999
115,0.0,2020-04-02 11:35:08,-172.28192868281218,23,-17.42439808088576,0.0025146949709584933
116,0.0,2020-04-02 11:41:48,-148.6598730498291,27,-20.53282982076531,0.0016057486458022601
117,0.12261895751953124,2020-04-02 11:45:02,-147.25863695101012,26,-0.004587161073026591,0.0002784079487800715
118,0.05149264526367188,2020-04-02 11:47:39,-182.15170294478906,31,-0.0019874598781710606,0.00013761879577682784
119,0.0,2020-04-02 11:53:01,-159.6076412426003,30,-25.001967264991304,0.0013337600833680794
120,0.0,2020-04-02 11:56:09,-78.2491214605153,14,-12.000021462147718,0.005952381550047237
121,0.023825637817382814,2020-04-02 12:00:59,-130.83037150178086,24,0.0025618443890185194,9.558869696166921e-05
122,0.0,2020-04-02 12:04:12,-170.25049142093488,30,-19.75046380972779,0.0016081315503909152
123,0.017301406860351563,2020-04-02 12:09:10,-185.03864660500622,34,0.004255777347469788,8.6394491501838e-05
124,0.10484500122070312,2020-04-02 12:12:20,-233.49059517577348,40,0.0021120712838942346,9.769626729381908e-05
125,0.0,2020-04-02 12:14:32,-227.29689276032244,39,-28.82876897618515,0.000890759436115341
126,0.0,2020-04-02 12:20:46,-163.85422008796584,32,-30.9950946174246,0.0010080663915732664
127,0.1468561706542969,2020-04-02 12:31:28,-298.0362812913647,53,0.004422431005421057,6.9033593278095e-05
128,0.2381649169921875,2020-04-02 12:33:06,-171.48349305942747,28,-0.004076773992096605,0.0005404062413011517
129,0.06083692932128906,2020-04-02 12:37:47,-162.2943755976285,28,0.001578433355263087,0.00010339864673362748
130,0.0,2020-04-02 12:41:11,-134.76817704729203,21,-10.814788087999391,0.0023205128469726824
131,0.060394866943359375,2020-04-02 12:44:45,-163.25155818593373,27,0.008459757536083634,0.00012811014749975364
132,0.05556266784667968,2020-04-02 12:49:14,-104.04679971106837,18,-0.003870220281158465,0.00016211558937177022
133,0.09103436279296877,2020-04-02 12:51:33,-96.71120272582044,17,-0.006312239744344916,0.00045232988539614904
134,0.0545489730834961,2020-04-02 12:57:50,-257.2003359232038,44,-0.0026346694034908857,-1.5697210086427654e-05
135,0.06252896118164061,2020-04-02 13:00:43,-141.12586517575474,21,-0.004582935884820665,-7.735323150341171e-05
136,0.05893148803710937,2020-04-02 13:04:02,-137.3725909476062,24,-0.0041071122042370956,0.00010984197638519591
137,0.03998377990722657,2020-04-02 13:07:37,-174.55702072426666,29,-0.007074035085415502,-9.23060575803745e-05
138,0.03695793914794922,2020-04-02 13:12:19,-191.2076795428099,33,-0.0006804000172522251,3.970758520019782e-05
139,0.0,2020-04-02 13:15:19,-177.3050362446933,27,-10.766912906512403,0.0007671065777776298
140,0.0017301406860351562,2020-04-02 13:20:52,-247.04333354567504,42,-0.003783396418838736,2.6020983629149223e-05
141,0.0,2020-04-02 13:23:37,-159.27235237103005,23,-15.781181621246361,-7.038268897973426e-08
142,0.0,2020-04-02 13:26:36,-150.65026665527904,23,-13.93518926958958,2.9297294997008665e-06
143,0.02979347991943359,2020-04-02 13:31:40,-267.5922508242096,43,0.006737499986767315,2.0015727393272328e-05
144,0.0,2020-04-02 13:37:14,-191.6261631714049,35,-27.49251812804328,0.0007883850591236345
145,0.0368664779663086,2020-04-02 13:41:02,-168.42059463676057,31,-0.0006132782866310471,4.2646591316411585e-05
146,0.0,2020-04-02 13:43:24,-77.78653534393946,15,-8.798924668854662,0.007399837527217549
147,0.0,2020-04-02 13:48:32,-187.56253055818357,37,-12.104848889890384,8.930514418733003e-05
