,estimated_f2b,log_likelihood,trips_number,gradient,hessian_eigenvalues,asymptotic_confidence
54,0.20030539512634282,-1035.5956123604815,180.0,5.452657666493721e-06,-1717.9539678318636,5.558656839630096e-07
55,0.004181585311889649,-894.3994291703132,159.0,-0.0006265841951786921,-1517.5165668841103,9.260217481239206e-08
56,0.0,-985.5917191869834,170.0,-95.3580329191615,-1102.4364834679097,1.2734660582026106e-06
57,0.06677224159240723,-881.9404762923555,161.0,0.0006224477047670485,-1250.1082008642304,1.0987936644794238e-07
58,0.34316096305847166,-834.5075551370954,146.0,0.00011891238666163553,-878.2200812937465,5.762879299309553e-07
59,0.0,-927.0881486799179,160.0,-31.746598422114975,-715.1405456537457,6.25023273597361e-07
60,0.14828719139099117,-1011.88557441111,177.0,0.00024854661765817037,-518.9107212159979,3.7842843788472075e-07
61,0.0,-706.9351198288321,125.0,-50.621538006008684,-586.8667184307918,1.0882461022104447e-06
62,0.010750894546508788,-830.3710198003358,144.0,0.0011973377927896323,-673.7150791501118,2.614304379267794e-08
63,0.03600468635559082,-901.8190693704278,160.0,0.0004636396318300484,-421.0096829746877,2.0459000140869253e-07
64,0.1966855716705322,-1338.5984631250071,231.0,0.00028864092418601217,-348.6480884432635,1.818967023107882e-07
65,0.30452496528625494,-1052.3192081741165,179.0,0.0001830433954676542,-404.1181581729436,3.507733863575074e-07
66,0.0,-991.044595606968,172.0,-8.949787794061184,-340.604657767123,9.691493002652434e-08
67,0.004121160507202149,-863.1521868152327,151.0,-0.000574459756637502,-259.9343463053917,1.3305550227525102e-07
68,0.005063409805297851,-857.6924916158048,157.0,-0.0004592140069012744,-215.4150196272839,8.123444738289977e-08
69,0.005682764053344726,-766.2525619335776,136.0,0.00040399974778027037,-210.3698129585626,3.656314242193935e-08
70,0.05741772651672363,-588.6559023392385,103.0,0.00033698365263473695,-181.63726915395577,2.967604182573878e-07
71,0.0,-650.1239471305184,119.0,-1.5296275113437405,-257.5833618603064,7.005097453123603e-08
72,0.0,-696.1498741984493,128.0,-46.8050463760935,-93.9662347466987,1.2802260680339846e-06
73,0.042732610702514634,-570.8922093447516,104.0,0.00014935028252455185,-108.32440356123894,1.811106604763799e-07
74,0.07227656364440918,-464.25722384127397,83.0,-0.0001972103107991119,-99.8900272684577,5.307387649967834e-07
75,0.0,-651.3592456773118,121.0,-81.6183022992201,-87.51649755813266,1.2506175276952564e-06
76,0.0,-356.13518031332325,66.0,-23.564764720959968,-87.24210360885465,5.178877839552556e-06
77,0.0,-407.37733215771186,80.0,-46.74175400946941,-23.041969842918363,1.4993274651967734e-06
78,0.0,-295.3274117040357,55.0,-23.367780215045325,-20.660218158184094,5.654876181504248e-06
79,0.0,-316.10738454836945,59.0,-34.49885853001937,-34.37691124951055,3.516737780202257e-06
80,0.0,-541.1302153596555,107.0,-88.22580385192808,-111.29708414174887,1.0776385770328225e-06
81,0.0,-378.4559299300416,67.0,-6.908494562192841,-2483.9761323410617,9.600765707045407e-07
82,0.02665583610534667,-543.4021372418204,100.0,0.0004555537096960216,-1658.100665607687,7.241085458267674e-08
83,0.03189202308654786,-477.9447345458204,82.0,0.0006488597070394369,-1304.811394832225,9.195974027297931e-08
84,0.019595575332641602,-406.1780022991587,74.0,-0.000945035141674877,-747.8573675608964,4.8462080146281306e-08
85,0.043344411849975575,-305.63575400467005,55.0,0.0006829457422039553,-484.12598981500184,1.6033855616731245e-07
86,0.0,-569.7201384365361,111.0,-23.606198866842384,-124.97486276993679,3.519918801256075e-07
87,0.0,-401.47786774758475,74.0,-8.921372237754968,-1075.8142373459373,7.368532758760401e-06
88,0.0,-174.5074285070705,31.0,-9.774671958640113,-6.018278719336967,1.7801161391743795e-05
89,0.0,-136.14611230401812,26.0,-10.745299225127892,-41.490079425917365,2.9314415098811562e-06
90,0.0,-179.41493060988017,33.0,-19.48574560624954,-22.4597561626026,6.221576743653221e-06
91,0.0,-224.80942437190063,42.0,-36.99511188834889,-19.15803759697101,3.24220505900618e-06
92,0.0,-194.88302525206987,36.0,-27.828488747880055,-37.00000774191105,4.281887033975134e-06
93,0.03745110511779785,-306.61917280401207,61.0,-0.0005180251814138614,-461.7006168003183,1.1249583849685715e-07
94,0.025870313644409178,-274.7699317311025,49.0,0.0004206088608060657,-860.9594850127594,2.664468175270656e-07
95,0.0,-170.9833025374857,28.0,-13.485825308713927,-28.016061921349095,9.899753130588497e-06
96,0.028906660079956056,-153.83573208643259,29.0,-0.0007037749831741991,-12.108329758508969,1.3968816892392432e-07
97,0.0,-85.98541540522581,16.0,-8.539886354776474,-857.601551975047,1.3631492153891417e-05
98,0.0,-190.23809312416984,36.0,-25.811127977757945,-8.80010061942227,4.611748660119941e-06
99,0.021793527603149412,-126.72645463359757,22.0,-0.0001446255096848592,-356.02441608702367,3.4150512614908176e-07
100,0.0,-197.54379773956086,33.0,-20.321443703188258,-26.01217480073169,5.043628535590976e-06
101,0.03392947196960448,-182.15372347719668,33.0,0.0006848974448165901,-23.763310890929024,1.3988067228585145e-07
102,0.0,-123.73645673510889,23.0,-18.925269890369385,-18.859508467255544,6.3608023857678775e-06
103,0.0,-100.72518367799242,19.0,-15.999990935605812,-15.999993816341506,7.497603665416777e-06
104,0.057984209060668944,-93.48054346585495,19.0,-4.817439010951219e-05,-303.4290338396985,3.953531102979856e-07
105,0.020849390029907225,-131.20030991911628,24.0,3.221504031132855e-05,-12.07689777409209,3.082247897548009e-07
106,0.0,-121.7950850258634,21.0,-12.545983200935355,-396.3755065111138,9.92756953367147e-06
107,0.02174065589904785,-211.11698653474417,43.0,-0.0010380646745975497,-1470.4865232868717,8.2068444675471e-08
108,0.0,-89.20137066411581,16.0,-8.889456776410979,-8.630878141509838,1.3898631243503984e-05
109,0.0,-98.78459282934166,19.0,-14.548626991882053,-360.7731375315268,8.166140709557273e-06
110,0.0,-104.07116825882991,19.0,-14.148644914524377,-176.27859058758423,8.57662537573667e-06
111,0.09679770469665527,-124.56317818154183,17.0,-3.061022373766558e-05,27.782279281976614,-2.30312470387892e-06
112,0.25925356864929205,-166.67405331253255,25.0,-8.040260925934462e-07,-69.59417203755322,1.0197244613467815e-06
113,0.12370751380920411,-172.51843681816283,26.0,0.00011003668709583781,-14.742138644747074,1.1313788127705657e-07
114,0.06673636436462402,-163.03466001280879,27.0,0.00012878635559654406,-13.940209213160374,-3.7633244025112943e-07
115,0.0,-172.28063778721483,23.0,-17.424399802254843,-17.20406901974196,6.9383054464830915e-06
116,0.0,-148.66025797617286,27.0,-20.5328320130348,-234.75050770223282,5.20096203064127e-06
117,0.12258587837219237,-147.25867881935505,26.0,1.9235354928426318e-05,-138.09008092125967,8.68039039008738e-07
118,0.05148476600646973,-182.15215527828659,31.0,1.0554809826146538e-07,-23.065267258121967,5.116999085164323e-07
119,0.0,-159.6077935554552,30.0,-25.001967073832276,-24.992002425186218,4.800000324710025e-06
120,0.0,-78.2491214605153,14.0,-12.000021462147714,-11.999998367060133,9.996802027430585e-06
121,0.02383097648620605,-130.83037149440324,24.0,0.00020206414707724107,-442.27822719632377,2.752639003244706e-07
122,0.0,-170.25045736183802,30.0,-19.750524593166244,2986.3357703657516,5.7873892189416985e-06
123,0.017314538955688477,-185.0386413634579,34.0,-0.0002331958085644949,-3079.548043334855,3.5249789183626095e-07
124,0.10485308647155761,-233.49026105756786,40.0,1.2255716317133292e-05,-1256.984222680121,4.6884122077723906e-07
125,0.0,-227.29643522892604,39.0,-28.828776405316955,-340.40404051980147,4.1674184925054574e-06
