,estimated_f2b,log_likelihood,trips_number,gradient,hessian_eigenvalues,asymptotic_confidence
45,0.029038839340209954,-475.17480819666827,83.0,0.0008528815650910015,-829.8013978299641,7.786456970677798e-08
46,0.03223946571350098,-996.3252664410124,169.0,0.0015874801707000952,-465.2234369423464,2.9176071065654786e-08
47,0.18831673622131345,-1340.7968490129067,208.0,0.0007755853874015124,-637.8349527606075,1.0499045138378617e-07
48,0.4323215389251709,-1361.4598109762228,207.0,0.005974312146839633,-203.1682191857374,1.759799747440305e-07
49,0.24868111610412597,-1150.0295913808027,176.0,-0.007664268991943058,-309.5237016407316,2.3979239599640515e-07
50,0.3119798755645752,-1209.1362077080728,188.0,4.529606204561887e-05,-249.47353931727073,3.9203263242979274e-07
51,0.034080533981323234,-1119.7056135412229,191.0,-0.0006563270067477774,-331.75387883150296,8.051366711872211e-08
52,0.5260328578948974,-1892.520714859552,324.0,-0.004174595585902274,-273.410046410697,1.354864502216602e-07
53,0.16098206520080566,-1998.3003195337321,341.0,-0.0012184471620066972,-499.3526409954892,1.0100540124880483e-07
54,0.2579128932952881,-1498.4717175377368,250.0,0.00017698294866064224,-383.7002930196717,1.9385144838980418e-07
55,0.11269886970520021,-1239.241729596787,209.0,-2.192328655990913e-05,-449.63782918606074,4.595055915053477e-07
56,0.004942560195922851,-1495.0735249277009,249.0,-0.0037602066449682336,-215.4379247106541,1.4755074895161633e-08
57,0.38812834739685065,-1685.7200246614261,292.0,-0.006321839644664262,-189.81351240314265,1.5772558256675172e-07
58,0.3694174289703368,-1858.1073577613772,319.0,0.0005089618074869406,-6526.310932077569,1.548980516285556e-07
59,0.2856308841705322,-1528.9754248957245,256.0,-0.00028761436630114767,-3560.930706342476,2.1976705518723856e-07
60,0.06748034477233887,-1253.342004965053,211.0,-4.641423299833747e-05,-2198.4647151628424,1.0911803574543663e-07
61,0.0,-1042.510354583336,183.0,-27.021790951602178,-1597.595646549937,5.013380688984672e-07
62,0.02240532875061035,-1630.7498898986032,294.0,-0.0035412570075250976,-1199.6837484082284,1.339998928362894e-08
63,0.2809309673309326,-1055.9136062377206,179.0,-0.0006373619002562059,-1182.6315625587652,3.167737824724913e-07
64,0.16367663383483888,-1578.574469707222,266.0,-0.0037359421025125322,-1090.6245991419848,1.426823393097808e-07
65,0.27567400932312003,-1294.7054241731805,216.0,-6.932974917620439e-05,-996.5500919064457,2.843445864288287e-07
66,0.06283896446228027,-1366.9431883723532,239.0,0.00012831323475115397,-759.8792644654109,8.826074850631598e-08
67,0.12174559593200683,-1227.2014284052714,221.0,-0.00021911215173850418,-504.79066711027866,2.66858843138032e-07
68,0.055640859603881834,-1174.9802816594868,218.0,2.4974872189220676e-05,-626.9058575442031,7.291885163956427e-08
69,0.01700486183166504,-1104.2277106484423,200.0,0.007281173061634661,-625.6902145017172,2.4568314783775775e-08
70,0.3202373027801513,-1172.0003413081156,207.0,-0.006674948388471158,-174.35866926809223,2.3425442725716144e-07
71,0.01694066047668457,-1168.9463029027254,212.0,0.0325436762473459,-618.810893908436,6.059104383266241e-08
72,0.03216771125793457,-1000.9669701174323,181.0,0.0025349171889781363,-391.6588586107326,7.081634328969091e-08
73,0.007527608871459961,-837.8595235819182,149.0,0.009675221543807868,-82.81509465172353,8.163924269925246e-08
74,0.5588208675384521,-653.2902472751474,117.0,-0.003417160590203361,-274.03737138177166,1.0518542470056986e-06
75,0.015295972824096678,-980.9875446361052,183.0,-0.0003212707104814916,-127.01468233940855,4.320481997305927e-08
76,0.04464543342590332,-654.3481360107603,122.0,-0.0006235351402944583,-306.2922584338296,1.294820875678266e-07
77,0.06677790641784669,-849.0819722710202,164.0,-0.00016277562764739585,-327.65512053832356,1.3872239022817106e-07
78,0.0,-785.764296938854,152.0,-39.42658255001328,-372.89108041023246,2.699304533606407e-07
79,0.0,-765.1255615880648,147.0,-28.161486217628187,-338.0781169209845,6.619894298659264e-07
80,0.05001191139221192,-500.8485935962018,92.0,0.0005473455019759932,-1690.3432165527984,1.077037036723682e-07
81,0.04818594932556152,-330.371714516529,61.0,-0.00012865943407813774,-2235.2692986569855,1.792792439260118e-07
82,0.0,-502.6409143362149,100.0,-24.715381939000693,-1346.0465119001196,5.190133858184588e-07
83,0.0,-384.1048789642451,76.0,-25.782011718480263,-1805.3931414123226,6.294937533228709e-07
84,0.0003540515899658203,-494.1072934076986,97.0,-0.0006194135294194313,-812.0514136758061,5.1734903101464666e-08
85,0.047593030929565426,-477.96292185522253,89.0,0.0005311857760208483,-1655.223792099279,6.495906420883446e-08
86,0.041903657913208006,-496.3861958550162,94.0,-0.002068660691509905,-758.8999835888133,1.6146320356189579e-07
87,0.12586392402648927,-340.96356233533623,61.0,-2.005558865406001e-05,-487.73921987683417,5.793348510334484e-07
88,0.20776030540466306,-258.5078813136166,46.0,-3.873221145900274e-05,-683.8976145538587,1.6337342559976259e-06
89,0.04629767417907714,-266.7079376241947,45.0,-1.7500879640364175e-05,-168.900905907041,4.61009621858152e-07
90,0.03050225257873535,-302.9749287141276,57.0,-0.0007612568804531905,-138.62138780487714,6.531288931204537e-07
91,0.055408601760864255,-207.80843948321566,39.0,-0.00016388416312795862,-362.7912664588268,2.5165585487288213e-07
92,0.029448595046997074,-298.9956216338666,57.0,0.0003494703234649954,-347.47121008358687,6.064457578933755e-07
93,0.03317793846130371,-420.2420813734601,78.0,0.00016055750447718786,-193.643745234899,4.843822319274257e-08
94,0.329031000137329,-229.6059463701031,37.0,-5.7308947121942344e-05,-150.84906042047933,1.4166881848121492e-06
95,0.1994518947601318,-219.6294243464566,37.0,1.3160600246919785e-05,-52.06074572055,1.1335494806608519e-06
96,0.055748491287231444,-303.44461749166527,55.0,0.00011881071043973179,-61.30415991672439,1.3559142342826244e-07
97,0.05268570899963379,-219.65993145256255,39.0,6.847109108523846e-05,-71.09815228285352,2.409786788117912e-07
